;"Fertility Rate"
"1950";6.49
"1951";6.36
"1952";6.24
"1953";6.11
"1954";5.98
"1955";5.86
"1956";5.73
"1957";5.61
"1958";5.48
"1959";5.61
"1960";4.45
"1961";3.86
"1962";6.09
"1963";7.51
"1964";6.67
"1965";6.61
"1966";6.31
"1967";5.81
"1968";6.51
"1969";6.18
"1970";6.09
"1971";5.52
"1972";5.11
"1973";4.73
"1974";4.17
"1975";3.57
"1976";3.24
"1977";2.84
"1978";2.72
"1979";2.75
"1980";2.74
"1981";2.79
"1982";2.97
"1983";2.56
"1984";2.61
"1985";2.63
"1986";2.72
"1987";2.76
"1988";2.54
"1989";2.52
"1990";2.51
"1991";1.93
"1992";1.78
"1993";1.69
"1994";1.63
"1995";1.59
"1996";1.55
"1997";1.53
"1998";1.52
"1999";1.53
"2000";1.63
"2001";1.56
"2002";1.57
"2003";1.57
"2004";1.61
"2005";1.62
"2006";1.64
"2007";1.67
"2008";1.7
"2009";1.71
"2010";1.69
"2011";1.67
"2012";1.8
"2013";1.71
"2014";1.77
"2015";1.67
"2016";1.77
"2017";1.8
"2018";1.54
"2019";1.5
"2020";1.24
"2021";1.12
"2022";1.03
"2023";1
"2024";1.71
"2025";1.71